ts,vaultid,count,means194,stddevs194
1680393600000,1003,560,18.361,2.305
1680393600000,1015,538,26.165,4.08
1680393600000,1012,567,30.755,7.652
1680393600000,1002,557,22.637,2.531
1680393600000,1019,566,27.776,5.098
1680393600000,1007,554,25.744,4.63
1680393600000,1005,547,21.26,2.741
1680393600000,1004,545,19.703,2.682
1680393600000,1013,540,26.687,4.437
1680393600000,1009,533,27.749,3.385
1680393600000,1020,573,26.517,5.863
1680393600000,1016,537,26.389,4.635
1680393600000,1010,521,22.052,2.791
1680393600000,1011,526,26.257,6.621
1680393600000,1006,556,22.791,3.937
1680393600000,1000,564,22.145,2.377
1680393600000,1017,556,28.198,5.384
1680393600000,1014,548,26.084,5.498
1680393600000,1018,544,27.325,3.823
1680393600000,1008,577,29.589,4.144
1680393600000,1001,548,18.248,1.87
1680480000000,1020,534,26.603,5.337
1680480000000,1008,564,28.863,4.232
1680480000000,1002,556,23.946,2.536
1680480000000,1017,533,27.535,5.389
1680480000000,1013,549,25.933,4.884
1680480000000,1010,549,23.43,2.87
1680480000000,1016,532,26.519,5.132
1680480000000,1007,546,25.537,3.998
1680480000000,1019,567,26.966,5.486
1680480000000,1004,546,20.901,2.528
1680480000000,1001,555,19.488,1.958
1680480000000,1009,545,27.695,3.336
1680480000000,1018,584,26.747,4.131
1680480000000,1012,550,29.969,8.305
1680480000000,1015,558,25.351,4.336
1680480000000,1006,593,23.076,3.036
1680480000000,1000,552,23.355,2.307
1680480000000,1003,573,19.586,2.221
1680480000000,1005,564,22.156,2.627
1680480000000,1011,582,26.648,6.264
1680480000000,1014,548,25.639,6.198
1680566400000,1013,541,25.667,4.88
1680566400000,1001,530,19.879,1.721
1680566400000,1016,565,26.242,5.438
1680566400000,1015,562,25.21,4.242
1680566400000,1010,542,23.697,2.714
1680566400000,1011,522,26.803,5.84
1680566400000,1004,563,21.085,2.644
1680566400000,1019,556,27.371,5.615
1680566400000,1007,555,25.47,3.86
1680566400000,1008,560,28.602,4.557
1680566400000,1020,545,27.193,5.331
1680566400000,1002,570,24.235,2.499
1680566400000,1014,546,25.621,6.213
1680566400000,1017,540,27.909,5.612
1680566400000,1003,572,19.818,2.062
1680566400000,1005,564,22.395,2.493
1680566400000,1006,557,23.127,3.065
1680566400000,1012,565,29.793,7.703
1680566400000,1018,551,26.906,4.397
1680566400000,1000,540,23.561,2.289
1680566400000,1009,533,27.916,3.635
1680652800000,1006,556,22.79,3.832
1680652800000,1008,552,30.259,4.131
1680652800000,1013,573,26.613,4.751
1680652800000,1007,576,26.488,4.884
1680652800000,1009,542,27.483,3.343
1680652800000,1016,541,26.983,5.209
1680652800000,1019,558,27.991,5.208
1680652800000,1010,569,22.132,2.839
1680652800000,1014,547,26.011,5.874
1680652800000,1004,546,19.864,2.757
1680652800000,1011,568,26.428,6.251
1680652800000,1001,527,18.562,1.919
1680652800000,1017,537,28.451,5.337
1680652800000,1005,528,21.536,2.782
1680652800000,1015,522,26.249,4.398
1680652800000,1000,553,22.38,2.302
1680652800000,1002,557,22.592,2.597
1680652800000,1020,535,26.026,5.347
1680652800000,1018,579,28.0,4.317
1680652800000,1003,553,18.579,2.253
1680652800000,1012,551,30.581,6.964
1680739200000,1003,540,18.38,2.319
1680739200000,1011,559,25.982,6.504
1680739200000,1008,578,30.536,4.151
1680739200000,1014,546,26.223,6.058
1680739200000,1017,548,28.226,5.641
1680739200000,1016,524,27.239,5.485
1680739200000,1013,540,26.713,4.795
1680739200000,1001,518,18.34,1.778
1680739200000,1015,559,26.349,4.246
1680739200000,1007,560,26.775,5.041
1680739200000,1010,545,22.079,2.75
1680739200000,1004,572,19.809,2.751
1680739200000,1009,551,27.546,3.165
1680739200000,1018,543,28.273,4.424
1680739200000,1006,567,23.127,4.097
1680739200000,1012,571,30.366,6.55
1680739200000,1000,556,22.135,2.389
1680739200000,1005,562,21.411,2.901
1680739200000,1019,546,28.17,5.693
1680739200000,1002,574,22.615,2.587
1680739200000,1020,562,26.404,5.356
1680825600000,1009,559,27.453,3.174
1680825600000,1005,537,21.404,2.934
1680825600000,1011,528,26.263,6.689
1680825600000,1014,525,26.55,5.903
1680825600000,1008,532,30.5,3.894
1680825600000,1019,554,28.525,5.792
1680825600000,1016,559,27.646,5.386
1680825600000,1007,538,26.784,4.794
1680825600000,1001,552,18.219,1.754
